freq,unit,deg_urb,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,THS_PER,DEG1,AT	604 	832 b	725 	751 	793 	698 	667 	709 	630 	640 	696 	683 	701 	: 
A,THS_PER,DEG1,BE	1341 	1325 	1279 	1414 	1498 	984 b	974 	908 	959 	929 	927 	916 	950 b	: 
A,THS_PER,DEG1,BG	1755 	1102 	1172 	1276 	1269 	1277 b	1202 	859 	1000 	987 b	936 	777 	741 	716 
A,THS_PER,DEG1,CH	648 	629 	693 	606 	677 	370 b	320 	342 b	416 	485 	517 	465 	465 	: 
A,THS_PER,DEG1,CY	105 	98 	97 	110 	109 	105 b	111 	110 	104 	100 	92 	89 	79 	: 
A,THS_PER,DEG1,CZ	530 	535 	473 	461 	516 	435 b	423 	452 	431 	437 	389 	373 	369 	: 
A,THS_PER,DEG1,DE	9238 	8758 	8846 	8220 	8183 	6785 b	6454 	6828 	7003 	6966 	6668 	6628 	6203 	: 
A,THS_PER,DEG1,DK	365 	358 	369 	398 	354 	400 b	459 	463 	468 	423 	424 	386 	442 	435 b
A,THS_PER,DEG1,EE	116 	109 	122 	110 	127 	119 b	114 	141 	125 	129 	118 	173 	183 	: 
A,THS_PER,DEG1,EL	1032 	1010 	1051 	1137 	1399 	1738 b	1551 	1397 	1381 	1404 	1330 	1273 	1064 	: 
A,THS_PER,DEG1,ES	4401 	4996 	5025 b	5308 	5305 	5726 b	5533 	6159 	6003 	6115 	5730 	5436 	5374 	: 
A,THS_PER,DEG1,FI	232 	221 	209 	216 	235 	183 b	282 	305 	334 	349 	333 	350 	347 	336 
A,THS_PER,DEG1,FR	5800 	5867 	5686 	6002 	6281 	5816 b	5351 	5383 	4992 	5397 	5259 	5767 	4851 	: 
A,THS_PER,DEG1,HR	: 	: 	: 	327 	348 	293 b	245 	239 	208 	227 	203 	217 	210 	: 
A,THS_PER,DEG1,HU	736 	729 	723 	684 	761 	749 b	844 	683 	651 	550 	592 	448 	470 	420 
A,THS_PER,DEG1,IE	309 	307 	346 	360 	415 	446 b	430 	412 	382 	341 	343 	308 	324 	: 
A,THS_PER,DEG1,IS	22 	21 	22 	25 	27 	25 b	25 	22 	27 	25 	28 	22 	: 	: 
A,THS_PER,DEG1,IT	6378 	6366 	6121 	6342 	7227 	7395 	7333 	7308 	5901 b	6314 	6260 	6028 	5901 	: 
A,THS_PER,DEG1,LT	289 	248 	277 	394 	341 	346 b	298 	275 	281 	260 	243 	236 	241 	: 
A,THS_PER,DEG1,LU	45 	45 	51 	46 	45 	16 b	13 	12 	11 	19 b	16 	20 	22 	: 
A,THS_PER,DEG1,LV	293 	301 	342 	344 	333 	299 b	255 	226 	215 	183 	188 	201 	191 	: 
A,THS_PER,DEG1,MK	: 	: 	: 	521 	522 	: 	: 	: 	: 	228 	247 	268 	261 	: 
A,THS_PER,DEG1,MT	72 	72 	73 	76 	81 	85 b	91 	90 	91 	82 	78 	82 	88 	: 
A,THS_PER,DEG1,NL	1639 	1540 	1632 	1693 	1802 	1421 b	1456 	1399 p	1586 	1819 b	1862 	1888 	1868 	1861 p
A,THS_PER,DEG1,NO	375 	355 	362 	343 	368 	347 b	385 	: 	243 	275 	290 	323 	294 	: 
A,THS_PER,DEG1,PL	4238 	3537 	3111 	3153 	3161 	2619 b	2492 	2237 	2023 	1976 	1850 	1702 	1677 	: 
A,THS_PER,DEG1,PT	1022 	1077 	970 	1043 	1048 	1057 b	1252 	1240 	1210 	1105 	1042 	918 	934 	: 
A,THS_PER,DEG1,RO	2490 	2180 	2298 	2151 	2131 	2102 b	2105 	1774 	1550 	1466 	1117 	1050 	814 	800 
A,THS_PER,DEG1,RS	: 	: 	: 	: 	: 	: 	839 	860 	795 	799 	725 	632 	584 	: 
A,THS_PER,DEG1,SE	280 	347 b	371 	400 	421 	397 b	722 	637 	680 	674 	687 	676 	738 	: 
A,THS_PER,DEG1,SI	54 	62 	55 	62 	69 	69 b	77 	76 	75 	: 	70 	63 	67 	: 
A,THS_PER,DEG1,SK	246 	242 	207 	229 	213 	182 b	232 	185 	194 	154 	129 	116 	124 	: 
A,THS_PER,DEG1,UK	10424 	9722 	9548 	9806 	8675 	9654 b	9986 	9770 	9809 	9271 	9486 b	9527 	: 	: 
