freq,unit,na_item,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,CP_MEUR,B1GQ,AL	7809.8 	8800.3 	8662.2 	8996.6 	9268.3 	9585.8 	9625.4 	9968.6 	10264.1 	10719.9 	11559.0 	12828.1 	13752.8 p	12991.7 e
A,CP_MEUR,B1GQ,AT	283978.0 	293761.9 	288044.0 	295896.6 	310128.7 	318653.0 	323910.2 	333146.1 	344269.2 	357608.0 	369341.3 	385361.9 	397575.3 	375562.0 
A,CP_MEUR,B1GQ,BA	11528.5 	13047.8 	12679.3 	12968.9 	13411.8 	13407.5 	13691.8 	13988.3 	14617.4 	15289.9 	16042.4 	17099.7 	18046.4 	: 
A,CP_MEUR,B1GQ,BE	343618.9 	351743.1 	346472.8 	363140.1 	375967.8 	386174.7 	392880.0 	403003.3 	416701.4 	430085.3 	445050.1 	460370.1 	476343.6 	451176.9 p
A,CP_MEUR,B1GQ,BG	32444.5 	37217.7 	37417.7 	38058.1 	41268.9 	42048.6 	41903.5 	42890.3 	45690.9 	48640.2 	52329.0 	56111.8 	61239.5 	60642.7 
A,CP_MEUR,B1GQ,CH	360651.5 	389124.7 	402236.6 	455933.7 	520201.4 	538439.0 	536632.9 	553942.2 	632770.5 	628729.6 	623994.0 	623042.2 	653470.8 	655977.7 
A,CP_MEUR,B1GQ,CY	17591.0 	19009.6 	18675.5 	19410.0 	19803.0 	19440.8 	17995.0 	17430.2 	17884.0 	18929.3 	20119.9 	21432.5 	22287.1 p	20840.7 p
A,CP_MEUR,B1GQ,CZ	139002.1 	162064.5 	149586.5 	157920.8 	165202.2 	162587.5 	159461.5 	157821.3 	169558.2 	177438.5 	194132.9 	210927.8 	223950.3 	213661.0 
A,CP_MEUR,B1GQ,DE	2499550.0 	2546490.0 	2445730.0 	2564400.0 	2693560.0 	2745310.0 	2811350.0 	2927430.0 	3026180.0 	3134740.0 	3259860.0 	3356410.0 	3449050.0 	3336180.0 p
A,CP_MEUR,B1GQ,DK	233383.3 	241613.5 	231278.0 	243165.4 	247879.9 	254578.0 	258742.7 	265757.0 	273017.6 	283109.7 	294808.2 	302361.1 	312747.2 	311726.0 
A,CP_MEUR,B1GQ,EA	9238505.6 	9478712.0 	9210566.3 	9470254.1 	9744341.1 	9778987.8 	9875312.9 	10130620.0 	10519852.8 	10815642.4 	11217161.3 	11588228.7 	11937296.3 	11322815.6 
A,CP_MEUR,B1GQ,EA12	9203432.2 	9415570.7 	9085280.7 	9339475.7 	9592421.2 	9624302.7 	9719437.1 	9946740.7 	10290663.1 	10578447.5 	10964700.3 	11318269.5 	11651828.7 	11046294.4 
A,CP_MEUR,B1GQ,EA19	9386391.4 	9618572.9 	9270530.1 	9531023.8 	9795968.7 	9834616.9 	9933318.7 	10167201.3 	10519852.8 	10815642.4 	11217161.3 	11588228.7 	11937296.3 	11322815.6 
A,CP_MEUR,B1GQ,EE	16398.7 	16638.3 	14211.8 	14863.1 	16829.2 	18050.7 	19033.4 	20180.0 	20782.2 	21931.5 	23857.7 	25937.6 	28112.4 	27166.9 
A,CP_MEUR,B1GQ,EL	232694.6 	241990.4 	237534.2 	224124.0 b	203308.2 	188388.7 	179616.4 	177349.4 	176110.2 	174236.9 	177151.9 	179727.3 p	183413.5 p	165829.8 p
A,CP_MEUR,B1GQ,ES	1075539.0 	1109541.0 	1069323.0 	1072709.0 	1063763.0 	1031099.0 	1020348.0 	1032158.0 	1077590.0 	1113840.0 	1161867.0 	1204241.0 p	1244772.0 p	1121698.0 p
A,CP_MEUR,B1GQ,EU15	12054995.7 	12007919.7 	11369262.8 	11829511.8 	12166015.0 	12419946.7 	12516368.4 	12962411.8 	13663891.9 	13761942.9 	14099323.9 	14512200.9 	14965741.6 	: 
A,CP_MEUR,B1GQ,EU27_2020	10737819.8 	11083177.6 	10585151.7 	10977298.0 	11321811.2 	11388518.2 	11517118.7 	11781640.0 	12211542.9 	12551001.6 	13069785.6 	13518533.2 	13965441.3 	13305813.8 
